"id","lat","lon"
"9,846",16.4760384444,-94.8334947778
"10,161",16.4768701111,-94.8288416944
"10,476",16.4829848333,-94.8340411111
"10,791",16.47113,-94.8224685
"8,263",16.4673068611,-94.8358241111
"8,897",16.4717424167,-94.83112125
"9,214",16.4663121667,-94.8281210556
"9,530",16.4766728333,-94.8361975
"10,162",16.4771391389,-94.8288299444
"10,477",16.4835223056,-94.8340163889
"10,792",16.4709172222,-94.8224779444
"7,312",16.4750679444,-94.8334673333
"7,947",16.4667489444,-94.8361597222
"9,848",16.4763088611,-94.8334835833
"10,163",16.4774085,-94.8288182222
"10,478",16.4839396667,-94.833996
"10,793",16.4704912778,-94.8224969167
"8,582",16.4705110833,-94.8327730833
"9,532",16.4764297778,-94.8362079444
"10,164",16.4776769167,-94.8288071667
"10,479",16.4842085556,-94.8339801944
"10,794",16.4702799167,-94.8225055
"7,632",16.4770472222,-94.8307227222
"8,266",16.4675723611,-94.8358028333
"8,900",16.4716863333,-94.8305374444
"9,217",16.4665572778,-94.8281004722
"9,850",16.4765767778,-94.8334721944
"10,165",16.4780808611,-94.8287902778
"10,480",16.4841893333,-94.8333984722
"10,795",16.4700937222,-94.8225023056
"7,633",16.4767413611,-94.8307471944
"7,950",16.4672593611,-94.8361322222
"9,534",16.47618475,-94.8362178056
"10,166",16.4783494167,-94.8287790556
"10,481",16.4838924722,-94.8334260833
"10,796",16.4701271667,-94.8230812778
"7,316",16.4754710278,-94.8334362222
"8,585",16.4702629444,-94.8327936389
"9,219",16.4670913889,-94.8280583056
"9,852",16.4768463611,-94.8334603333
"10,167",16.4784809722,-94.8287730833
"10,482",16.4835437222,-94.8334396389
"10,797",16.4704134167,-94.8230582222
"8,903",16.4713396944,-94.8305843333
"9,536",16.4759386944,-94.8362270833
"10,168",16.4787226111,-94.8287605
"10,483",16.4829238611,-94.8334685833
"10,798",16.4707968889,-94.82304275
"7,953",16.4675313333,-94.8361180278
"8,270",16.4678411944,-94.8357812778
"9,854",16.4771154444,-94.8334487222
"10,169",16.47868325,-94.8281796667
"10,484",16.4825458611,-94.8334876111
"10,799",16.4710669167,-94.8230316667
"7,319",16.4756051111,-94.8334258333
"7,637",16.4765329444,-94.8307634167
"8,588",16.4700183611,-94.8328129444
"9,538",16.4756889722,-94.8362380278
"10,170",16.478252,-94.8282168056
"10,485",16.4821762222,-94.8335052222
"10,800",16.4713169167,-94.82302125
"8,272",16.4681091111,-94.8357594444
"8,906",16.4709968611,-94.8306116111
"9,223",16.4674960278,-94.8280255
"9,856",16.4773838333,-94.8334370278
"10,171",16.4780079722,-94.8282266111
"10,486",16.4817151944,-94.8335280833
"10,801",16.4715868056,-94.8230097222
"7,321",16.4760078889,-94.8333946111
"7,956",16.4677873056,-94.8361040556
"9,540",16.4751921111,-94.8362598889
"10,172",16.4777560278,-94.8282365556
"10,487",16.48112275,-94.8335546111
"10,802",16.4718510556,-94.8229982222
"8,591",16.4696535556,-94.8328426667
"9,858",16.4776538056,-94.8334252222
"10,173",16.4775075833,-94.8282467778
"10,488",16.4807224444,-94.8335701389
"10,803",16.4721169722,-94.8229867778
"7,641",16.4762178056,-94.8307873333
"8,909",16.4707539167,-94.8306308056
"9,226",16.4678956667,-94.8279933611
"9,542",16.4750682222,-94.8362648333
"10,174",16.4772513333,-94.8282581389
"10,489",16.4806019167,-94.8335747778
"10,804",16.4725176389,-94.8229695278
"7,324",16.4762767778,-94.8333739167
"7,959",16.4680580833,-94.8360896111
"9,860",16.4781904444,-94.8334018611
"10,175",16.4768733056,-94.8282746111
"10,490",16.480254,-94.8335909167
"10,805",16.4726529167,-94.8229637778
"7,643",16.47590825,-94.8308114444
"8,277",16.4683769167,-94.8357380556
"8,594",16.4694107222,-94.8328622778
"9,228",16.4684334167,-94.8279498611
"9,544",16.4746977222,-94.8362815556
"10,176",16.4767464167,-94.8282793889
"10,491",16.4799025556,-94.83360975
"10,806",16.4730553056,-94.8229460556
"7,961",16.4684593333,-94.8360682222
"8,912",16.4705086944,-94.8306503056
"9,862",16.4784615556,-94.8333904722
"10,177",16.4764962778,-94.8282898889
"10,492",16.4794165833,-94.8336350833
"10,807",16.4733232222,-94.8229344444
"7,327",16.4765455278,-94.8333530556
"9,546",16.4744563333,-94.8362913056
"10,178",16.4761135,-94.8283058889
"10,493",16.4791753611,-94.8336469722
"10,808",16.47359325,-94.8229226111
"8,280",16.4687758333,-94.8357060556
"8,597",16.4691742778,-94.8328811944
"9,231",16.4688338889,-94.8279171111
"9,864",16.4787311389,-94.8333791667
"10,179",16.4757253333,-94.8283218333
"10,494",16.4789976667,-94.8336502778
"10,809",16.4738613611,-94.8229106667
"7,647",16.4753991111,-94.8308510556
"8,915",16.47026125,-94.8306688056
"9,548",16.47421575,-94.8363021389
"10,180",16.4755986944,-94.8283274167
"10,495",16.4789918611,-94.833064
"10,810",16.47413125,-94.8228988333
"7,330",16.4768141667,-94.8333319444
"7,648",16.4750979722,-94.8308751389
"7,965",16.4687266111,-94.8360542222
"9,866",16.4789961667,-94.8333660556
"10,181",16.4752238611,-94.8283429167
"10,496",16.4793739722,-94.8330638333
"10,811",16.4743996111,-94.8228872222
"8,283",16.4689146111,-94.8356950556
"8,600",16.4689447778,-94.8329004722
"9,234",16.4691023889,-94.8278956111
"9,550",16.4738658889,-94.8363176667
"10,182",16.4750973611,-94.8283487222
"10,497",16.4797805,-94.8330439722
"10,812",16.4746613889,-94.8228756944
"8,918",16.4700182222,-94.8306883333
"9,868",16.478958,-94.8327921389
"10,183",16.4747131389,-94.8283655833
"10,498",16.4799142222,-94.8330371111
"10,813",16.4748866111,-94.8228663056
"7,333",16.4772171111,-94.8333006389
"7,651",16.4747998611,-94.8308989167
"7,968",16.4689942778,-94.8360403056
"9,552",16.4735131389,-94.8363331944
"10,184",16.4744473611,-94.8283768611
"10,499",16.4801635278,-94.83302575
"10,814",16.4748070833,-94.82343875
"8,286",16.4693129444,-94.8356635278
"8,603",16.4686173056,-94.8329264444
"9,237",16.4693708611,-94.8278738611
"9,870",16.4786751667,-94.8328160556
"10,185",16.4741799167,-94.8283883056
"10,500",16.4804288611,-94.8330136667
"10,815",16.4745613056,-94.8234503611
"8,921",16.4696506944,-94.8307184444
"9,554",16.4733942778,-94.8363386667
"10,186",16.4736417222,-94.8284113056
"10,501",16.4806991111,-94.8330010556
"10,816",16.4742271389,-94.8234635
"7,337",16.4773515556,-94.8332901667
"7,971",16.4692636111,-94.8360262778
"9,872",16.4783318056,-94.8328300833
"10,187",16.4733726944,-94.8284223333
"10,502",16.4809596667,-94.83298875
"10,817",16.4738902222,-94.8234780556
"8,289",16.4695817222,-94.835641
"8,606",16.4683872222,-94.8329445
"9,240",16.4696402222,-94.8278516667
"9,556",16.4730307778,-94.8363526389
"9,873",16.4780998333,-94.8328391389
"10,188",16.4731038889,-94.8284340278
"10,503",16.4813598056,-94.8329699167
"10,818",16.47377775,-94.8234829722
"7,656",16.4745009722,-94.83092225
"8,924",16.4694001389,-94.83073875
"10,189",16.4728345278,-94.8284460833
"10,504",16.4817633333,-94.8329498333
"10,819",16.4734445556,-94.8234981111
"7,974",16.4695343333,-94.8360130833
"9,558",16.47278475,-94.8363633333
"9,875",16.4778527778,-94.8328488056
"10,190",16.4725645833,-94.8284567778
"10,505",16.4822994167,-94.83292325
"10,820",16.4731116111,-94.8235126944
"7,340",16.4776217778,-94.8332691389
"7,658",16.4742151389,-94.83094475
"8,292",16.4698528611,-94.8356190556
"8,609",16.4680301389,-94.8329724167
"9,243",16.47017525,-94.8278085833
"10,191",16.4722964167,-94.8284673611
"10,506",16.4828363056,-94.8328986389
"10,821",16.4728923333,-94.8235221944
"7,976",16.4698020833,-94.8359988889
"8,927",16.4691478889,-94.8307586667
"9,560",16.4725339444,-94.8363731111
"9,877",16.4774702222,-94.8328640833
"10,192",16.4718926111,-94.8284862222
"10,507",16.4833751944,-94.8328740278
"10,822",16.4725652222,-94.8235365556
"7,660",16.4740172222,-94.83096025
"9,561",16.4722857222,-94.8363834444
"10,193",16.4717643611,-94.8284908333
"10,508",16.4836601389,-94.8328619444
"10,823",16.4723521111,-94.823546
"8,295",16.4701199722,-94.8355976944
"8,612",16.4677960556,-94.8329906944
"9,879",16.4772126944,-94.8328756389
"10,194",16.4715496111,-94.828495
"10,509",16.4839748889,-94.8328470278
"10,824",16.47202725,-94.8235593611
"7,344",16.4778885556,-94.8332483889
"8,930",16.4687646389,-94.8307890278
"9,563",16.4719976944,-94.8363868333
"10,195",16.4715450556,-94.8279128889
"10,510",16.48416725,-94.8328348333
"10,825",16.4718071667,-94.8235684722
"7,980",16.47007025,-94.8359847778
"9,248",16.4704441667,-94.8277877222
"9,881",16.4769546389,-94.8328872222
"10,196",16.4719873333,-94.8279136944
"10,511",16.4789072778,-94.8330696944
"10,826",16.4714920278,-94.8235829167
"7,664",16.4736982222,-94.83098375
"8,298",16.4703885833,-94.8355763611
"9,249",16.4707140278,-94.8277660278
"10,197",16.4721227222,-94.8279088056
"10,512",16.47923825,-94.8330552778
"10,827",16.4711775833,-94.8235966667
"7,347",16.4781694167,-94.8332233333
"8,616",16.46756025,-94.8330108889
"8,933",16.4682627778,-94.8308297778
"9,566",16.4719930556,-94.8358045278
"10,198",16.4724009167,-94.8278966111
"10,513",16.47949275,-94.8330429167
"10,828",16.4709625278,-94.8236058333
"7,348",16.4781152222,-94.8326957778
"7,983",16.4703393333,-94.8359708056
